"Ano/mes do obito";"1 Regiao Norte";"2 Regiao Nordeste";"3 Regiao Sudeste";"4 Regiao Sul";"5 Regiao Centro-Oeste";"Total"
"1996";1134;4611;21054;5559;1638;33996
"..Janeiro/1996";98;380;1588;320;136;2522
"..Fevereiro/1996";91;332;1451;271;125;2270
"..Marco/1996";93;361;1488;340;139;2421
"..Abril/1996";89;420;1532;342;108;2491
"..Maio/1996";94;570;1770;417;133;2984
"..Junho/1996";107;492;2100;596;138;3433
"..Julho/1996";105;377;2819;1064;206;4571
"..Agosto/1996";86;395;2335;687;174;3677
"..Setembro/1996";90;336;1751;474;142;2793
"..Outubro/1996";89;328;1481;378;121;2397
"..Novembro/1996";96;287;1358;324;102;2167
"..Dezembro/1996";95;326;1379;346;114;2260
"1997";1054;4118;18597;4535;1730;30034
"..Janeiro/1997";88;365;1346;348;144;2291
"..Fevereiro/1997";84;314;1225;285;126;2034
"..Marco/1997";84;344;1326;283;145;2182
"..Abril/1997";90;395;1303;335;96;2219
"..Maio/1997";95;454;1488;369;155;2561
"..Junho/1997";80;406;2304;531;153;3474
"..Julho/1997";77;362;2090;582;197;3308
"..Agosto/1997";73;288;1718;526;161;2766
"..Setembro/1997";110;309;1507;372;156;2454
"..Outubro/1997";108;305;1297;314;139;2163
"..Novembro/1997";74;278;1377;286;135;2150
"..Dezembro/1997";90;295;1614;303;120;2422
"1998";1171;4970;19696;5058;1608;32503
"..Janeiro/1998";94;306;1554;340;126;2420
"..Fevereiro/1998";89;328;1478;266;104;2265
"..Marco/1998";117;513;1489;297;135;2551
"..Abril/1998";114;516;1465;335;129;2559
"..Maio/1998";97;494;1877;437;130;3035
"..Junho/1998";92;527;2476;852;152;4099
"..Julho/1998";90;562;2356;722;178;3908
"..Agosto/1998";104;388;1653;488;162;2795
"..Setembro/1998";99;329;1371;386;161;2346
"..Outubro/1998";112;377;1363;351;129;2332
"..Novembro/1998";82;313;1275;285;102;2057
"..Dezembro/1998";80;310;1338;299;99;2126
"1999";1315;4835;18286;4250;1508;30194
"..Janeiro/1999";100;341;1364;313;99;2217
"..Fevereiro/1999";90;340;1212;249;93;1984
"..Marco/1999";136;400;1488;273;102;2399
"..Abril/1999";137;511;1602;305;127;2682
"..Maio/1999";120;600;1969;378;124;3191
"..Junho/1999";130;544;1883;497;181;3235
"..Julho/1999";133;415;1910;532;179;3169
"..Agosto/1999";101;392;1608;463;138;2702
"..Setembro/1999";104;340;1433;358;132;2367
"..Outubro/1999";92;332;1378;315;128;2245
"..Novembro/1999";88;316;1218;275;93;1990
"..Dezembro/1999";84;303;1221;292;112;2012
"2000";1348;4871;17761;4100;1481;29561
"..Janeiro/2000";111;357;1362;275;133;2238
"..Fevereiro/2000";96;315;1120;223;107;1861
"..Marco/2000";107;472;1262;270;106;2217
"..Abril/2000";112;469;1370;267;125;2343
"..Maio/2000";146;521;1631;344;130;2772
"..Junho/2000";133;448;1783;411;127;2902
"..Julho/2000";128;452;1956;540;153;3229
"..Agosto/2000";99;418;1832;532;148;3029
"..Setembro/2000";101;335;1405;374;132;2347
"..Outubro/2000";113;388;1490;329;109;2429
"..Novembro/2000";101;318;1170;250;102;1941
"..Dezembro/2000";101;378;1371;285;109;2244
"2001";1510;4692;18352;4047;1601;30202
"..Janeiro/2001";110;396;1328;268;115;2217
"..Fevereiro/2001";104;325;1175;257;105;1966
"..Marco/2001";129;377;1361;275;100;2242
"..Abril/2001";139;360;1315;308;109;2231
"..Maio/2001";146;490;1593;375;123;2727
"..Junho/2001";124;437;1696;366;151;2774
"..Julho/2001";108;423;1977;451;167;3126
"..Agosto/2001";126;414;1798;401;130;2869
"..Setembro/2001";120;363;1566;427;146;2622
