iter	Logloss
0	0.6183818394
1	0.5588329782
2	0.513332654
3	0.4742823422
4	0.4454232805
5	0.4209691453
6	0.3989856624
7	0.3849547515
8	0.371478581
9	0.3599137983
10	0.3489848769
11	0.342108298
12	0.3327533636
13	0.3267191754
14	0.319479045
15	0.315258156
16	0.3097699699
17	0.3061556968
18	0.3030611393
19	0.3001746333
20	0.2961641706
21	0.2926953513
22	0.2873842567
23	0.2835706046
24	0.2807044141
25	0.2777867821
26	0.274510696
27	0.2711652575
28	0.268475036
29	0.2672323789
30	0.2666203736
31	0.2647083438
32	0.2627599703
33	0.2609293401
34	0.2576350756
35	0.2552901245
36	0.2537154867
37	0.2514722206
38	0.2495107918
39	0.2481964938
40	0.2449888495
41	0.2435598871
42	0.2425531571
43	0.241342445
44	0.2403114129
45	0.2388307016
46	0.2378859881
47	0.2366819558
48	0.2350671355
49	0.2336102352
50	0.2322753591
51	0.2312955065
52	0.2306537456
53	0.2293197134
54	0.2280859987
55	0.2275569032
56	0.2266026182
57	0.2252403521
58	0.2248593072
59	0.2240625067
60	0.2225668389
61	0.2216216391
62	0.2208591971
63	0.2200976364
64	0.2193905576
65	0.2182376083
66	0.2173774959
67	0.2164153916
68	0.2156017803
69	0.2152788395
70	0.2146156629
71	0.2138342217
72	0.2126155678
73	0.2115760858
74	0.2110474024
75	0.2104486562
76	0.2095720874
77	0.209007679
78	0.2086234935
79	0.2078041227
80	0.2069197394
81	0.2062613817
82	0.205733251
83	0.2054346692
84	0.205147318
85	0.2049864578
86	0.2042667291
87	0.2038081283
88	0.2033561141
89	0.2028181842
90	0.2020740288
91	0.2016513006
92	0.201325367
93	0.2011124503
94	0.2008111743
95	0.2003482197
96	0.2003237123
97	0.1998431236
98	0.1997083324
99	0.199306975
100	0.198865781
101	0.1986999892
102	0.1984991685
103	0.1979476069
104	0.1978254837
105	0.1977206824
106	0.1976794766
107	0.1975866119
108	0.1973522934
109	0.1969517713
110	0.1965991233
111	0.1963411544
112	0.1961417746
113	0.1960114598
114	0.1958921427
115	0.1957383146
116	0.1955944057
117	0.1954928069
118	0.1953786724
119	0.1952241692
120	0.1948479211
121	0.1947118234
122	0.1946670028
123	0.1943894172
124	0.1942818501
125	0.1941791604
126	0.1941196213
127	0.1939799197
128	0.193739507
129	0.193411908
130	0.1931703077
131	0.1927148015
132	0.1925719581
133	0.1922380595
134	0.1920830127
135	0.1916407523
136	0.1914580674
137	0.1913940299
138	0.1911039041
139	0.190887675
140	0.190826109
141	0.1907503869
142	0.1906732384
143	0.1905744188
144	0.1904303237
145	0.1902655276
146	0.1902540016
147	0.190138154
148	0.1901199361
149	0.190000185
150	0.189888834
151	0.1897588673
152	0.1895778904
153	0.1894825654
154	0.1891710542
155	0.1890939545
156	0.1890707906
157	0.1889641479
158	0.1887147785
159	0.1886919014
160	0.1886831262
161	0.1885740086
162	0.1884309854
163	0.1884045277
164	0.1882733823
165	0.1879632288
166	0.1879207657
167	0.1877603413
168	0.1876322419
169	0.1876251665
170	0.1874470866
171	0.1874178168
172	0.1872159208
173	0.1871238593
174	0.1869778873
175	0.1868656912
176	0.1866283975
177	0.1865990983
178	0.1865913202
179	0.1865782456
180	0.1864728349
181	0.1863709896
182	0.1862998759
183	0.1862006669
184	0.1860670437
185	0.1859105978
186	0.1857105223
187	0.1856803969
188	0.1854831771
189	0.185369365
190	0.1852289085
191	0.1850692621
192	0.1848724317
193	0.1848248092
194	0.1846434074
195	0.1844584803
196	0.1843071077
197	0.1842984866
198	0.1842199931
199	0.1841119976
200	0.1841109664
201	0.1838983664
202	0.183835422
203	0.1836858095
204	0.1834486751
205	0.1832621818
206	0.1831354125
207	0.1830765169
208	0.1829677657
209	0.1829063618
210	0.1828291682
211	0.1827845342
212	0.1825858072
213	0.1825629467
214	0.1823372393
215	0.1822606726
216	0.1821802661
217	0.1821726598
218	0.1819903291
219	0.1818311693
220	0.1816881009
221	0.1815942051
222	0.1814318251
223	0.1812729524
224	0.1811510121
225	0.1809670589
226	0.1808818348
227	0.1807209975
228	0.1805277687
229	0.1803771962
230	0.1802113651
231	0.1801045434
232	0.1799738119
233	0.179770023
