iter	Passed	Remaining
0	80	53657
1	158	52582
2	229	50710
3	309	51225
4	393	51921
5	494	54305
6	598	56275
7	716	58842
8	833	60741
9	920	60287
10	1027	61115
11	1118	60873
12	1221	61256
13	1354	62983
14	1465	63484
15	1582	64206
16	1685	64245
17	1784	64154
18	1871	63642
19	1957	63126
20	2052	62928
21	2155	62991
22	2272	63425
23	2367	63223
24	2457	62901
25	2574	63270
26	2678	63300
27	2802	63767
28	2890	63393
29	2974	62953
30	3080	62995
31	3171	62728
32	3270	62632
33	3353	62245
34	3442	61966
35	3553	62082
36	3657	62086
37	3795	62623
38	3918	62893
39	4027	62933
40	4114	62627
41	4211	62467
42	4329	62630
43	4428	62505
44	4516	62225
45	4617	62129
46	4704	61862
47	4816	61910
48	4907	61692
49	5006	61579
50	5100	61408
51	5193	61225
52	5543	64008
53	5677	64243
54	5772	64020
55	5897	64130
56	6020	64223
57	6122	64073
58	6226	63956
59	6307	63600
60	6413	63508
61	6525	63462
62	6636	63419
63	6756	63451
64	6841	63149
65	6923	62834
66	7011	62580
67	7099	62328
68	7209	62272
69	7321	62230
70	7436	62213
71	7540	62108
72	7635	61923
73	7732	61757
74	7836	61647
75	7942	61557
76	8085	61744
77	8185	61600
78	8296	61541
79	8393	61377
80	8474	61097
81	8566	60905
82	8653	60679
83	8739	60446
84	8837	60305
85	8935	60161
86	9068	60245
87	9178	60179
88	9313	60276
89	9438	60300
90	9546	60215
91	9635	60014
92	9723	59804
93	9813	59609
94	9898	59388
95	9978	59142
96	10061	58914
97	10154	58751
98	10260	58659
99	10355	58510
100	10447	58341
101	10543	58197
102	10648	58098
103	10737	57920
104	10820	57710
105	10921	57595
106	11007	57404
107	11108	57289
108	11189	57079
109	11279	56910
110	11378	56792
111	11486	56715
112	11613	56733
113	11718	56639
114	11815	56509
115	11907	56353
116	11991	56167
117	12071	55959
118	12202	55989
119	12307	55898
120	12428	55876
121	12536	55799
122	12639	55694
123	12738	55576
124	12825	55407
125	12945	55377
126	13034	55216
127	13145	55150
128	13240	55016
129	13346	54926
130	13444	54803
131	13528	54628
132	13674	54698
133	13854	54901
134	13990	54926
135	14137	54990
136	14278	55031
137	14413	55041
138	14514	54926
139	14664	54990
140	14773	54901
141	14910	54915
142	15038	54895
143	15155	54834
144	15262	54733
145	15380	54673
146	15476	54537
147	15590	54461
148	15721	54445
149	15841	54387
150	15946	54280
151	16057	54194
152	16156	54066
153	16257	53944
154	16356	53817
155	16454	53686
156	16554	53563
157	16685	53542
158	16812	53504
159	16976	53580
160	17082	53474
161	17191	53379
162	17297	53271
163	17390	53125
164	17536	53140
165	17670	53118
166	17770	52993
167	17857	52829
168	17959	52708
169	18046	52546
170	18156	52453
171	18260	52339
172	18375	52257
173	18489	52174
174	18588	52047
175	18705	51972
176	18864	52009
177	19003	51993
178	19123	51922
179	19290	51978
180	19433	51966
181	19570	51935
182	19713	51921
183	19830	51840
184	19923	51694
185	20014	51543
186	20120	51430
187	20242	51360
188	20368	51297
189	20462	51157
190	20557	51017
191	20655	50885
192	20739	50720
193	20819	50546
194	20911	50402
195	20981	50206
196	21073	50063
197	21185	49967
198	21277	49825
199	21371	49687
200	21491	49611
201	21594	49497
202	21742	49483
203	21851	49379
204	21984	49330
205	22173	49405
206	22304	49349
207	22486	49404
208	22947	50067
209	23099	50049
210	23229	49980
211	23345	49884
212	23449	49761
213	23580	49694
214	23691	49586
215	23813	49502
216	23935	49415
217	24054	49322
218	24160	49202
219	24252	49057
220	24368	48958
221	24461	48813
222	24598	48754
223	24713	48655
224	24845	48586
225	24978	48519
226	25102	48435
227	25234	48366
228	25404	48368
229	25569	48359
230	25730	48342
231	25888	48318
232	26053	48304
233	26237	48325
234	26371	48254
235	26506	48183
236	26680	48182
237	26821	48121
238	26951	48039
239	27081	47956
240	27212	47875
241	27334	47778
242	27461	47691
243	27586	47597
244	27746	47566
245	27922	47558
246	28032	47440
247	28178	47380
248	28286	47257
249	28401	47146
250	28519	47039
251	28669	46985
252	28792	46888
253	28920	46796
254	29032	46679
255	29177	46615
256	29329	46562
257	29480	46505
258	29637	46459
259	29754	46348
260	29882	46254
261	30001	46147
262	30115	46032
263	30218	45900
264	30321	45768
265	30468	45703
266	30707	45773
267	30958	45859
268	31283	46052
269	31504	46089
270	31901	46380
271	32114	46401
272	32347	46448
273	32604	46527
274	32890	46644
275	33127	46691
276	33309	46658
277	33503	46639
278	33695	46618
279	33838	46528
280	33955	46401
281	34135	46361
282	34382	46410
283	34627	46454
284	34841	46455
285	35286	46760
286	35955	47355
287	36414	47668
288	36627	47653
289	36842	47640
290	37038	47603
291	37228	47555
292	37443	47538
293	37627	47482
294	37753	47352
295	37883	47225
296	38015	47103
297	38254	47111
298	38454	47071
299	38652	47027
300	38822	46947
301	39062	46953
302	39261	46906
303	39529	46940
304	39792	46968
305	40008	46937
306	40168	46841
307	40337	46754
308	40564	46734
309	40823	46749
310	41000	46669
311	41117	46520
312	41300	46446
313	41475	46362
314	41705	46339
315	42217	46626
316	42481	46635
317	42849	46756
318	43110	46759
319	43394	46784
320	43519	46637
321	43658	46505
322	43787	46362
323	43906	46210
324	44042	46074
325	44206	45969
326	44377	45869
327	44502	45723
328	44645	45595
329	44768	45446
330	44918	45325
331	45032	45167
332	45127	44992
333	45206	44800
334	45288	44612
335	45377	44432
336	45469	44254
337	45577	44094
338	45672	43920
339	45752	43734
340	45853	43567
341	45942	43390
342	46061	43241
343	46217	43127
344	46343	42985
345	46788	43137
346	47021	43091
347	47181	42978
348	47376	42896
349	47624	42861
